                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.47802,                0.33935,                0.85946,                0.99596,                      1,                  0.995,                0.86948,                0.56345,                0.36546,                0.93109,              0.0015129,              0.0015129,              0.0015129
                    125,                0.49488,                0.35565,                0.87735,                0.99649,                      1,                  0.995,                0.86601,                0.56454,                0.34285,                0.92563,               0.001509,               0.001509,               0.001509
                    126,                0.50739,                0.38049,                0.90677,                0.99623,                      1,                  0.995,                0.87811,                0.56009,                0.36771,                0.93127,               0.001505,               0.001505,               0.001505
                    127,                0.47966,                0.36579,                0.87572,                0.99584,                      1,                  0.995,                 0.8948,                0.52955,                0.38041,                0.92359,               0.001501,               0.001501,               0.001501
                    128,                0.52673,                0.37654,                0.91682,                0.99651,                      1,                  0.995,                0.88492,                0.53512,                0.39286,                0.92925,              0.0014971,              0.0014971,              0.0014971
                    129,                0.59592,                0.39697,                0.91631,                0.99646,                      1,                  0.995,                0.88466,                0.57398,                0.35669,                0.94365,              0.0014931,              0.0014931,              0.0014931
                    130,                0.54771,                0.41346,                0.92139,                0.99628,                      1,                  0.995,                0.85702,                0.65513,                0.36646,                0.96592,              0.0014892,              0.0014892,              0.0014892
                    131,                0.53685,                0.38244,                 0.8859,                      1,                      1,                  0.995,                0.88837,                0.60316,                0.34589,                0.95472,              0.0014852,              0.0014852,              0.0014852
                    132,                 0.5185,                0.35536,                0.87752,                0.99632,                      1,                  0.995,                 0.8871,                0.53663,                0.34127,                0.94099,              0.0014812,              0.0014812,              0.0014812
                    133,                0.46683,                0.32261,                0.84293,                0.99643,                      1,                  0.995,                0.88312,                0.54702,                0.39058,                0.94796,              0.0014773,              0.0014773,              0.0014773
                    134,                0.51058,                0.33439,                0.88902,                0.99629,                      1,                  0.995,                0.87283,                0.62617,                0.40349,                0.97159,              0.0014733,              0.0014733,              0.0014733
                    135,                0.49589,                0.34102,                0.85665,                0.99633,                      1,                  0.995,                0.84873,                0.66004,                0.39459,                0.97778,              0.0014694,              0.0014694,              0.0014694
