                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.50365,                0.36361,                0.87402,                0.99611,                      1,                  0.995,                0.86023,                0.60345,                0.38642,                0.95306,              0.0017149,              0.0017149,              0.0017149
                     74,                0.56051,                0.39525,                0.88111,                0.99637,                      1,                  0.995,                0.86979,                0.62765,                0.35863,                0.95135,              0.0017109,              0.0017109,              0.0017109
                     75,                0.50132,                0.36765,                0.86951,                0.99572,                      1,                  0.995,                0.81548,                0.63767,                0.33711,                0.96404,               0.001707,               0.001707,               0.001707
                     76,                0.60757,                0.41951,                0.90495,                0.99578,                      1,                  0.995,                0.86062,                0.58364,                0.34521,                0.95147,               0.001703,               0.001703,               0.001703
                     77,                0.60246,                0.39823,                0.91061,                0.99585,                      1,                  0.995,                0.87443,                0.54896,                0.38088,                 0.9302,               0.001699,               0.001699,               0.001699
                     78,                0.56024,                  0.389,                0.90633,                0.99445,                      1,                  0.995,                0.86726,                0.54646,                0.40435,                0.92386,              0.0016951,              0.0016951,              0.0016951
                     79,                0.53288,                  0.362,                0.88417,                0.98974,                      1,                  0.995,                0.86524,                0.55848,                0.44636,                0.93865,              0.0016911,              0.0016911,              0.0016911
                     80,                0.51883,                0.37258,                 0.8736,                0.98582,                      1,                  0.995,                0.86168,                0.56517,                0.44234,                0.94609,              0.0016872,              0.0016872,              0.0016872
                     81,                0.58594,                 0.3995,                0.92758,                      1,                0.99838,                  0.995,                0.86105,                0.55199,                0.45576,                0.93301,              0.0016832,              0.0016832,              0.0016832
                     82,                0.50887,                0.37307,                0.89143,                 0.9952,                      1,                  0.995,                0.85113,                0.58303,                 0.3431,                 0.9512,              0.0016792,              0.0016792,              0.0016792
                     83,                0.55923,                0.39676,                0.90879,                0.99645,                      1,                  0.995,                 0.8437,                0.60949,                0.29708,                0.95567,              0.0016753,              0.0016753,              0.0016753
                     84,                0.50657,                0.35294,                0.88808,                0.99615,                      1,                  0.995,                0.84692,                0.64617,                0.32617,                0.96062,              0.0016713,              0.0016713,              0.0016713
                     85,                0.57767,                0.40916,                0.91469,                0.99644,                      1,                  0.995,                0.87524,                0.58807,                0.30593,                0.94518,              0.0016674,              0.0016674,              0.0016674
                     86,                0.52864,                0.36208,                0.89955,                0.99623,                      1,                  0.995,                0.85825,                0.56619,                0.33189,                0.93299,              0.0016634,              0.0016634,              0.0016634
                     87,                0.52366,                0.36753,                0.86839,                0.99581,                      1,                  0.995,                0.86561,                0.53419,                0.31606,                0.91844,              0.0016594,              0.0016594,              0.0016594
                     88,                 0.5303,                 0.3683,                0.89572,                0.99364,                      1,                  0.995,                0.89187,                0.55997,                0.33262,                0.92118,              0.0016555,              0.0016555,              0.0016555
                     89,                0.53826,                0.39021,                0.90076,                0.98923,                      1,                  0.995,                0.89071,                0.53996,                0.34305,                0.92819,              0.0016515,              0.0016515,              0.0016515
                     90,                0.56984,                0.38092,                0.90734,                0.98888,                      1,                  0.995,                0.88549,                0.55433,                0.45152,                0.93514,              0.0016476,              0.0016476,              0.0016476
                     91,                0.50373,                0.36841,                0.89302,                 0.9809,                      1,                  0.995,                0.86136,                0.62645,                0.58316,                0.94991,              0.0016436,              0.0016436,              0.0016436
                     92,                0.57192,                0.36856,                0.90957,                0.96953,                      1,                  0.995,                0.88086,                0.60388,                0.62728,                0.94254,              0.0016396,              0.0016396,              0.0016396
                     93,                0.52918,                0.37778,                 0.8885,                0.97999,                      1,                  0.995,                0.87305,                0.55323,                0.58335,                 0.9411,              0.0016357,              0.0016357,              0.0016357
                     94,                0.50233,                0.35144,                0.88003,                0.98911,                      1,                  0.995,                 0.8686,                0.56919,                0.40109,                0.94225,              0.0016317,              0.0016317,              0.0016317
                     95,                0.51421,                0.34193,                0.84223,                0.99455,                      1,                  0.995,                 0.8183,                0.64798,                0.33018,                0.95094,              0.0016278,              0.0016278,              0.0016278
                     96,                0.49342,                0.36474,                0.86414,                0.99584,                      1,                  0.995,                   0.84,                0.63659,                0.30778,                0.95785,              0.0016238,              0.0016238,              0.0016238
                     97,                0.54386,                0.40993,                0.88419,                0.99544,                      1,                  0.995,                0.87346,                0.55651,                0.30871,                 0.9527,              0.0016198,              0.0016198,              0.0016198
                     98,                0.47285,                0.33408,                0.85471,                0.99219,                      1,                  0.995,                0.86475,                0.55598,                0.33905,                0.93429,              0.0016159,              0.0016159,              0.0016159
                     99,                0.51135,                0.40523,                0.86114,                0.94984,                      1,                  0.995,                0.86654,                0.54145,                0.60259,                0.93215,              0.0016119,              0.0016119,              0.0016119
                    100,                0.56535,                0.39131,                0.91715,                0.96263,                      1,                  0.995,                0.86497,                0.55045,                0.60861,                0.93574,               0.001608,               0.001608,               0.001608
                    101,                0.54803,                 0.3673,                0.88974,                0.98388,                      1,                  0.995,                0.89274,                0.56549,                 0.4296,                0.93761,               0.001604,               0.001604,               0.001604
                    102,                0.55999,                0.39988,                0.92191,                0.99447,                      1,                  0.995,                0.87562,                0.55685,                 0.3353,                 0.9296,                 0.0016,                 0.0016,                 0.0016
