                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.50893,                0.44905,                0.85967,                0.99653,                      1,                  0.995,                0.85967,                 0.5479,                  0.338,                0.91906,              0.0016594,              0.0016594,              0.0016594
                     88,                0.48272,                0.45046,                0.87692,                 0.9965,                      1,                  0.995,                0.85679,                0.54327,                0.33516,                0.91787,              0.0016555,              0.0016555,              0.0016555
                     89,                0.53725,                0.48541,                0.89838,                0.99646,                      1,                  0.995,                0.83742,                0.54865,                0.32553,                0.91454,              0.0016515,              0.0016515,              0.0016515
                     90,                0.56065,                0.45091,                0.89788,                0.99639,                      1,                  0.995,                0.84456,                0.56249,                0.35005,                0.91567,              0.0016476,              0.0016476,              0.0016476
                     91,                0.50117,                0.45809,                0.88272,                0.99622,                      1,                  0.995,                0.84431,                 0.5631,                0.32287,                 0.9225,              0.0016436,              0.0016436,              0.0016436
                     92,                0.52048,                0.43726,                0.88772,                0.99592,                      1,                  0.995,                0.87195,                0.53525,                0.31601,                0.92046,              0.0016396,              0.0016396,              0.0016396
                     93,                0.51194,                0.44338,                0.88933,                0.99646,                      1,                  0.995,                0.84934,                0.61032,                0.36153,                0.93645,              0.0016357,              0.0016357,              0.0016357
                     94,                 0.4884,                0.43327,                0.86615,                0.99652,                      1,                  0.995,                0.85876,                0.61069,                 0.3871,                0.94203,              0.0016317,              0.0016317,              0.0016317
                     95,                0.51067,                0.43222,                0.84081,                0.99651,                      1,                  0.995,                0.86146,                0.55789,                0.33686,                  0.935,              0.0016278,              0.0016278,              0.0016278
                     96,                0.49886,                0.43826,                 0.8615,                0.99649,                      1,                  0.995,                 0.8721,                0.58646,                0.34396,                0.93393,              0.0016238,              0.0016238,              0.0016238
                     97,                0.49904,                0.44356,                0.86354,                0.99651,                      1,                  0.995,                0.88371,                0.53869,                0.32461,                0.92823,              0.0016198,              0.0016198,              0.0016198
